Temporada,Jornada,Fecha,Hora,Equipo Local,Equipo Visitante,Resultado,Arbitro
2013-14,26,DOM 02.03.2014,21:00,Rayo Vallecano,Valencia CF,1-0,-
2013-14,27,SAB 08.03.2014,16:00,Real Valladolid CF,FC Barcelona,1-0,-
2013-14,27,SAB 08.03.2014,18:00,Real Betis,Getafe CF,2-0,-
2013-14,27,SAB 08.03.2014,20:00,RC Celta,Atlético de Madrid,0-2,-
2013-14,27,SAB 08.03.2014,22:00,Granada CF,Villarreal CF,2-0,-
2013-14,27,DOM 09.03.2014,12:00,RCD Espanyol de Barcelona,Elche CF,3-1,-
2013-14,27,DOM 09.03.2014,17:00,UD Almería,Sevilla FC,1-3,-
2013-14,27,DOM 09.03.2014,19:00,Real Madrid,Levante UD,3-0,-
2013-14,27,DOM 09.03.2014,21:00,Valencia CF,Athletic Club,1-1,-
2013-14,27,LUN 10.03.2014,20:00,CA Osasuna,Málaga CF,0-2,-
2013-14,27,LUN 10.03.2014,22:00,Real Sociedad,Rayo Vallecano,2-3,-
2013-14,28,VIE 14.03.2014,21:00,Getafe CF,Granada CF,3-3,-
2013-14,28,SAB 15.03.2014,16:00,Levante UD,RC Celta,0-1,-
2013-14,28,SAB 15.03.2014,18:00,Rayo Vallecano,UD Almería,3-1,-
2013-14,28,SAB 15.03.2014,20:00,Málaga CF,Real Madrid,0-1,-
2013-14,28,SAB 15.03.2014,22:00,Atlético de Madrid,RCD Espanyol de Barcelona,1-0,-
2013-14,28,DOM 16.03.2014,12:00,Elche CF,Real Betis,0-0,-
2013-14,28,DOM 16.03.2014,17:00,FC Barcelona,CA Osasuna,7-0,-
2013-14,28,DOM 16.03.2014,19:00,Sevilla FC,Real Valladolid CF,4-1,-
2013-14,28,DOM 16.03.2014,21:00,Real Sociedad,Valencia CF,1-0,-
2013-14,28,LUN 17.03.2014,22:00,Villarreal CF,Athletic Club,1-1,-
2013-14,29,VIE 21.03.2014,21:00,RC Celta,Málaga CF,0-2,-
2013-14,29,SAB 22.03.2014,16:00,Granada CF,Elche CF,1-0,-
2013-14,29,SAB 22.03.2014,18:00,RCD Espanyol de Barcelona,Levante UD,0-0,-
2013-14,29,SAB 22.03.2014,20:00,Real Valladolid CF,Rayo Vallecano,1-1,-
2013-14,29,SAB 22.03.2014,22:00,Athletic Club,Getafe CF,1-0,-
2013-14,29,DOM 23.03.2014,12:00,CA Osasuna,Sevilla FC,1-2,-
2013-14,29,DOM 23.03.2014,17:00,Real Betis,Atlético de Madrid,0-2,-
2013-14,29,DOM 23.03.2014,19:00,Valencia CF,Villarreal CF,2-1,-
2013-14,29,DOM 23.03.2014,21:00,Real Madrid,FC Barcelona,3-4,-
2013-14,29,LUN 24.03.2014,22:00,UD Almería,Real Sociedad,4-3,-
